feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate,period,q
depthBoth,1000,6,6,1.0,0.06776401885818634,0.21359369902801584,20053,0.12177437869083244,0.1884506058943799,WEEKEND12,0.8
depthBoth,2000,6,6,1.0,0.11548417509923253,0.28840391337377935,12183,0.19549608976749688,0.2928671099072478,WEEKEND12,0.8
depthBoth,5000,6,6,1.0,0.22258125564280618,0.4034031650888462,6688,0.3160151838569358,0.4470693779904306,WEEKEND12,0.8
depthBoth,10000,6,6,1.0,0.3206002039149609,0.5081467894506487,4303,0.4023746026506103,0.5331164303973972,WEEKEND12,0.8
depthBoth,30000,6,6,1.0,0.09671889102901263,0.7210795836292335,1999,0.42340969655570304,0.5907953976988495,WEEKEND12,0.8
depthL1_extOFI,1000,6,6,1.0,0.07070213747794572,0.22421435579567917,19538,0.13159868020106902,0.20273313542839594,WEEKEND12,0.8
depthL1_extOFI,2000,6,6,1.0,0.11937717693241685,0.323410786458,12233,0.2094413251896159,0.30687484672606885,WEEKEND12,0.8
depthL1_extOFI,5000,6,6,1.0,0.2291427360946906,0.4865526492534036,6803,0.34321981064755375,0.4595031603704248,WEEKEND12,0.8
depthL1_extOFI,10000,6,6,1.0,0.344484077137161,0.528455901155556,4365,0.42495806372859135,0.53631156930126,WEEKEND12,0.8
depthL1_extOFI,30000,6,6,1.0,0.34618094495222596,0.6802815837397788,2031,0.4916993315300212,0.5913343180699163,WEEKEND12,0.8
gap_depthBoth,1000,6,6,1.0,0.060954864358767805,0.2200360166226119,13869,0.11321991165192333,0.1416828898983344,WEEKEND12,0.8
gap_depthBoth,2000,6,6,1.0,0.10772370504471289,0.30825957194877984,7967,0.1875419532380411,0.2330864817371658,WEEKEND12,0.8
gap_depthBoth,5000,6,6,1.0,0.22606021145151817,0.3721539124458861,4184,0.30305929315908975,0.38647227533460804,WEEKEND12,0.8
gap_depthBoth,10000,6,6,1.0,0.31932086470224813,0.49113615776315867,2718,0.41052275492389007,0.4867549668874172,WEEKEND12,0.8
gap_depthBoth,30000,6,6,1.0,0.4310020348001741,0.5872486435412714,1426,0.5070422205545478,0.5771388499298737,WEEKEND12,0.8
gap_depthL1,1000,6,6,1.0,0.05975229986155353,0.20958719197605416,14767,0.10888604205078606,0.13868761427507278,WEEKEND12,0.8
gap_depthL1,2000,6,6,1.0,0.10238129036129309,0.2974676365019891,8420,0.18077021818355765,0.22909738717339667,WEEKEND12,0.8
gap_depthL1,5000,6,6,1.0,0.21756257746210286,0.3480151221946558,4363,0.2872288722786184,0.38207655283062114,WEEKEND12,0.8
gap_depthL1,10000,6,6,1.0,0.3174194103750853,0.5403682674555285,2808,0.43596556474601006,0.48682336182336183,WEEKEND12,0.8
gap_depthL1,30000,6,6,1.0,0.42667397469991536,0.5563519765138164,1453,0.5057512120041131,0.5719201651754989,WEEKEND12,0.8
gap_depth_extOFI,1000,6,6,1.0,0.06269703068005056,0.22689852947630967,13205,0.11639778378310302,0.14335478985232866,WEEKEND12,0.8
gap_depth_extOFI,2000,6,6,1.0,0.1129050700339263,0.3336593200201371,7843,0.19488690089785904,0.23460410557184752,WEEKEND12,0.8
gap_depth_extOFI,5000,6,6,1.0,0.2243862242768488,0.37960972087898665,4184,0.30735396890655864,0.3862332695984704,WEEKEND12,0.8
gap_depth_extOFI,10000,6,6,1.0,0.3426303283806513,0.5772138529434365,2734,0.4522214701536306,0.48975859546452083,WEEKEND12,0.8
gap_depth_extOFI,30000,6,6,1.0,0.3646243639178709,0.6225367965531607,1431,0.511275575083732,0.5758211041229909,WEEKEND12,0.8
gap_extOFI,1000,6,6,1.0,0.0531874224360914,0.1883238913349164,16601,0.09770587930838757,0.12095656888139268,WEEKEND12,0.8
gap_extOFI,2000,6,6,1.0,0.09453238460398292,0.2658279572216838,9727,0.1603949351732851,0.20201500976662898,WEEKEND12,0.8
gap_extOFI,5000,6,6,1.0,0.17361141027429813,0.37085946800165515,5019,0.26009713514934607,0.33871289101414626,WEEKEND12,0.8
gap_extOFI,10000,6,6,1.0,0.30233839768041454,0.48980960758063397,3187,0.38218889352411384,0.4443049890178852,WEEKEND12,0.8
gap_extOFI,30000,6,6,1.0,0.29832020399584575,0.5154011171143998,1574,0.44606329478776097,0.5438373570520966,WEEKEND12,0.8
gap_leader1000,1000,6,6,1.0,0.1677901836483705,0.26875215184772105,6015,0.20671599999364196,0.22593516209476308,WEEKEND12,0.8
gap_leader1000,2000,6,6,1.0,0.18180177518558707,0.3375697154701402,5119,0.24436232790644216,0.28599335807774956,WEEKEND12,0.8
gap_leader1000,5000,6,6,1.0,0.2424565006443921,0.34987811819797376,3826,0.27836291215937775,0.3836905384213278,WEEKEND12,0.8
gap_leader1000,10000,6,6,1.0,0.26941321918638234,0.4126924614113995,2817,0.36011387175262366,0.4653887113951012,WEEKEND12,0.8
gap_leader1000,30000,6,6,1.0,0.2912102084740677,0.5188258521335356,1538,0.42333080782826804,0.5435630689206762,WEEKEND12,0.8
gap_localOFI,1000,6,6,1.0,0.0540457587639369,0.1994465558507763,12483,0.10683737697913064,0.13370183449491307,WEEKEND12,0.8
gap_localOFI,2000,6,6,1.0,0.07944734867915124,0.2907622929650986,8234,0.15916928028319396,0.20633956764634442,WEEKEND12,0.8
gap_localOFI,5000,6,6,1.0,0.14707229521682544,0.2864345079412013,4649,0.22306425429170923,0.33448053344805334,WEEKEND12,0.8
gap_localOFI,10000,6,6,1.0,0.22780970349141128,0.4405789410517965,3035,0.3526005358314449,0.4401976935749588,WEEKEND12,0.8
gap_localOFI,30000,6,6,1.0,0.2366186029670271,0.5694444618089345,1529,0.40856647920428396,0.5376062786134729,WEEKEND12,0.8
gap_localTrade,1000,6,6,1.0,0.15304923015898614,0.3876647452552832,4066,0.25431269893591896,0.22848007870142648,WEEKEND12,0.8
gap_localTrade,2000,6,6,1.0,0.1893250471184641,0.45129843069536274,3456,0.302548751310984,0.3003472222222222,WEEKEND12,0.8
gap_localTrade,5000,6,6,1.0,0.27472149278790803,0.5303452642880273,2566,0.4068746477685817,0.4123148869836321,WEEKEND12,0.8
gap_localTrade,10000,6,6,1.0,0.3688781063276673,0.6743820743887399,1962,0.5224911456460499,0.5025484199796126,WEEKEND12,0.8
gap_localTrade,30000,6,6,1.0,0.3641399162588113,0.7720714685991857,1170,0.5780595532637648,0.5658119658119658,WEEKEND12,0.8
leader1000_extOFI,1000,6,6,1.0,0.046132639307941294,0.1595665348439803,19736,0.08201450014875813,0.13518443453587353,WEEKEND12,0.8
leader1000_extOFI,2000,6,6,1.0,0.05651620674939966,0.1640040311813016,13774,0.1053356162339591,0.1938434732103964,WEEKEND12,0.8
leader1000_extOFI,5000,6,6,1.0,0.10357498036941926,0.1969519933912114,8425,0.1496742227324431,0.2924629080118694,WEEKEND12,0.8
leader1000_extOFI,10000,6,6,1.0,0.13726970023256685,0.2588536016318148,5340,0.20074467492457393,0.36329588014981273,WEEKEND12,0.8
leader1000_extOFI,30000,6,6,1.0,0.053135567264711504,0.7014917831707242,2278,0.25975922747139424,0.45171202809482003,WEEKEND12,0.8
depthBoth,1000,8,8,1.0,0.18496893883832408,0.3810442434656101,26255,0.30065595055944205,0.3885736050276138,WEEKDAY12,0.8
depthBoth,2000,8,8,1.0,0.2872722323796458,0.4685267764447707,17271,0.3880316367902985,0.49713392391870764,WEEKDAY12,0.8
depthBoth,5000,8,8,1.0,0.4118568592231812,0.6136429144466357,9821,0.5042351693637676,0.5768251705528968,WEEKDAY12,0.8
depthBoth,10000,8,8,1.0,0.3991346206114266,0.7887453861646626,6025,0.600249371689823,0.5980082987551867,WEEKDAY12,0.8
depthBoth,30000,8,8,1.0,0.3464285158535711,0.8345380750214525,2468,0.5223311064802525,0.5794165316045381,WEEKDAY12,0.8
depthL1_extOFI,1000,8,8,1.0,0.1893954798270393,0.40432200495148773,25890,0.31510510974789174,0.4069138663576671,WEEKDAY12,0.8
depthL1_extOFI,2000,8,8,1.0,0.28951502543937546,0.47593037564650786,17449,0.4053086951483359,0.5098859533497622,WEEKDAY12,0.8
depthL1_extOFI,5000,8,8,1.0,0.4215780622683676,0.6386694636862378,9953,0.5171534523821895,0.5844469004320305,WEEKDAY12,0.8
depthL1_extOFI,10000,8,8,1.0,0.4232192744766926,0.7294774875492988,6094,0.5732576797010807,0.6042008532983262,WEEKDAY12,0.8
depthL1_extOFI,30000,8,8,1.0,0.24588182335815192,0.7629665492964554,2485,0.5595535523389293,0.572635814889336,WEEKDAY12,0.8
gap_depthBoth,1000,8,8,1.0,0.13564886191352607,0.3650903197133204,17507,0.2596233681240151,0.304506768721083,WEEKDAY12,0.8
gap_depthBoth,2000,8,8,1.0,0.22204391923016772,0.4727646358444067,11166,0.3657895104636459,0.42710012538061976,WEEKDAY12,0.8
gap_depthBoth,5000,8,8,1.0,0.38234895577594064,0.621149086886075,6586,0.5033369765055697,0.5438809596112967,WEEKDAY12,0.8
gap_depthBoth,10000,8,8,1.0,0.44109116247001356,0.8054203256881695,4405,0.6128368378959358,0.5931895573212259,WEEKDAY12,0.8
gap_depthBoth,30000,8,8,1.0,0.2526485370133348,0.6983198594728198,2075,0.5165189090566218,0.5672289156626507,WEEKDAY12,0.8
gap_depthL1,1000,8,8,1.0,0.13282130144450663,0.34398464493699055,18417,0.2530364815484107,0.3030895368409622,WEEKDAY12,0.8
gap_depthL1,2000,8,8,1.0,0.21865332944548585,0.4449978876024891,11682,0.35644969697080253,0.4227871939736347,WEEKDAY12,0.8
gap_depthL1,5000,8,8,1.0,0.3712969062735974,0.581884020889194,6819,0.48590042464849165,0.5415750109986801,WEEKDAY12,0.8
gap_depthL1,10000,8,8,1.0,0.41518960993437337,0.8102656447849329,4529,0.5945549631639918,0.5860013247957606,WEEKDAY12,0.8
gap_depthL1,30000,8,8,1.0,0.12595995388798972,0.92514944257694,2101,0.4901323259371121,0.5678248453117563,WEEKDAY12,0.8
gap_depth_extOFI,1000,8,8,1.0,0.15315534909563833,0.4084889981978064,15959,0.2917574665248693,0.31762641769534433,WEEKDAY12,0.8
gap_depth_extOFI,2000,8,8,1.0,0.23898277191745929,0.4863161259934534,10514,0.38981413458312364,0.4367509986684421,WEEKDAY12,0.8
gap_depth_extOFI,5000,8,8,1.0,0.4123150992895558,0.60191503053635,6323,0.5365869361782177,0.5551162422900522,WEEKDAY12,0.8
gap_depth_extOFI,10000,8,8,1.0,0.5113177086345511,0.8449835970484286,4258,0.6532559852399731,0.6019257867543447,WEEKDAY12,0.8
gap_depth_extOFI,30000,8,8,1.0,0.35056007390539795,0.6544179883184076,2044,0.5289589285161196,0.5714285714285714,WEEKDAY12,0.8
gap_extOFI,1000,8,8,1.0,0.12228948939055341,0.32508769254988906,18692,0.25184270926015306,0.28857265140166916,WEEKDAY12,0.8
gap_extOFI,2000,8,8,1.0,0.19152251246624724,0.39897821590362365,12041,0.3364533986651511,0.403704011294743,WEEKDAY12,0.8
gap_extOFI,5000,8,8,1.0,0.33769979561330166,0.5037845010736395,6984,0.4550943482964696,0.5236254295532646,WEEKDAY12,0.8
gap_extOFI,10000,8,8,1.0,0.42999325374710695,0.7538951293554107,4580,0.5369308483916589,0.5705240174672489,WEEKDAY12,0.8
gap_extOFI,30000,8,8,1.0,0.17507422432198755,0.7504601153792991,2124,0.4727669913710648,0.5588512241054614,WEEKDAY12,0.8
gap_leader1000,1000,8,8,1.0,0.16754717497456392,0.38786827020311543,12668,0.27665168880051244,0.36161982949163246,WEEKDAY12,0.8
gap_leader1000,2000,8,8,1.0,0.21137443035650264,0.4201060317019497,10280,0.3039735396627036,0.4343385214007782,WEEKDAY12,0.8
gap_leader1000,5000,8,8,1.0,0.2190939237780211,0.5750409894236723,7000,0.3844323115575517,0.515,WEEKDAY12,0.8
gap_leader1000,10000,8,8,1.0,0.15561874839103534,0.7148636848155894,4750,0.4102572278430288,0.5467368421052632,WEEKDAY12,0.8
gap_leader1000,30000,8,8,1.0,0.05569355465177985,0.7258117013969312,2156,0.40120209004577434,0.5528756957328386,WEEKDAY12,0.8
gap_localOFI,1000,8,8,1.0,0.1297858296989112,0.32253171356730886,16289,0.23952134124568422,0.29756277242310764,WEEKDAY12,0.8
gap_localOFI,2000,8,8,1.0,0.20271304850603278,0.36760235727910917,11221,0.31524806651795984,0.40210319935834593,WEEKDAY12,0.8
gap_localOFI,5000,8,8,1.0,0.34941186416328834,0.5262277025265927,6833,0.42185645034416597,0.5163178691643495,WEEKDAY12,0.8
gap_localOFI,10000,8,8,1.0,0.38882373568025347,0.7281682618322638,4518,0.5176562060416313,0.5630810092961488,WEEKDAY12,0.8
gap_localOFI,30000,8,8,1.0,0.16524807025678556,1.0202517139109086,2105,0.5064742278275621,0.5539192399049881,WEEKDAY12,0.8
gap_localTrade,1000,8,8,1.0,0.269362776402562,0.6310981429679986,7566,0.4502881297767782,0.40946338884483213,WEEKDAY12,0.8
gap_localTrade,2000,8,8,1.0,0.3387835607273529,0.6581312050157924,6179,0.5299757814326264,0.4932837028645412,WEEKDAY12,0.8
gap_localTrade,5000,8,8,1.0,0.47659031856722406,0.7924315675579355,4476,0.6497289599313578,0.569928507596068,WEEKDAY12,0.8
gap_localTrade,10000,8,8,1.0,0.563829218534105,0.9913592756342314,3302,0.7431748941326327,0.6069049061175046,WEEKDAY12,0.8
gap_localTrade,30000,8,8,1.0,0.4989773764591855,1.060227084517329,1774,0.6934840459591836,0.5834272829763247,WEEKDAY12,0.8
leader1000_extOFI,1000,8,8,1.0,0.11658077091372732,0.29709541425178776,21504,0.22638498356583897,0.31547619047619047,WEEKDAY12,0.8
leader1000_extOFI,2000,8,8,1.0,0.14080545225269375,0.31569227581985926,15598,0.2533864322403072,0.39222977304782664,WEEKDAY12,0.8
leader1000_extOFI,5000,8,8,1.0,0.21138298377019873,0.38091099312760635,9518,0.3194412148269533,0.47846186173565874,WEEKDAY12,0.8
leader1000_extOFI,10000,8,8,1.0,0.20593513330710037,0.45357275601810054,5941,0.3212127963413591,0.5125399764349436,WEEKDAY12,0.8
leader1000_extOFI,30000,8,7,0.875,-0.11747938892491111,0.8099898152613982,2474,0.3618464925971147,0.5291026677445433,WEEKDAY12,0.8
depthBoth,1000,14,14,1.0,0.06776401885818634,0.3810442434656101,46308,0.22319391029250696,0.30191327632374537,ALL24,0.8
depthBoth,2000,14,14,1.0,0.11548417509923253,0.4685267764447707,29454,0.30839353774165346,0.41264344401439534,ALL24,0.8
depthBoth,5000,14,14,1.0,0.22258125564280618,0.6136429144466357,16509,0.42798492628001383,0.5242594948210068,ALL24,0.8
depthBoth,10000,14,14,1.0,0.3206002039149609,0.7887453861646626,10328,0.5178079376100659,0.5709721146398141,ALL24,0.8
depthBoth,30000,14,14,1.0,0.09671889102901263,0.8345380750214525,4467,0.4780633880027118,0.5845086187597941,ALL24,0.8
depthL1_extOFI,1000,14,14,1.0,0.07070213747794572,0.40432200495148773,45428,0.23618134862070542,0.31909835343840803,ALL24,0.8
