session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,1000,0.8,0.9287390349309971,3111,0.2702981650606153,0.3461909353905497
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,2000,0.8,0.9287390349309971,1997,0.411060930669743,0.48122183274912367
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,5000,0.8,0.9287390349309971,1146,0.5554703033106265,0.5977312390924956
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,10000,0.8,0.9287390349309971,729,0.5903210158387385,0.6406035665294925
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,30000,0.8,0.9287390349309971,307,0.532118343571288,0.5798045602605864
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,1000,0.9,0.9697771203690239,1834,0.33951742159024306,0.42311886586695746
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,2000,0.9,0.9697771203690239,1302,0.4778800088606794,0.5560675883256528
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,5000,0.9,0.9697771203690239,845,0.594626281820838,0.6473372781065089
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,10000,0.9,0.9697771203690239,595,0.5805814336532844,0.6521008403361345
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,30000,0.9,0.9697771203690239,283,0.554732171771436,0.5936395759717314
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,1000,0.95,0.9900152810739935,1031,0.40863562833651756,0.501454898157129
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,2000,0.95,0.9900152810739935,785,0.5464124643991582,0.6229299363057325
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,5000,0.95,0.9900152810739935,574,0.6756545715212042,0.7038327526132404
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,10000,0.95,0.9900152810739935,440,0.6841267281735185,0.6954545454545454
20260907T221751Z_3abdfd02,NEW12,BTC,depthBoth,30000,0.95,0.9900152810739935,247,0.5416501269374245,0.5910931174089069
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,1000,0.8,0.9292057629046563,2914,0.2941133908461264,0.363761153054221
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,2000,0.8,0.9292057629046563,1931,0.4244866720607752,0.49611600207146556
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,5000,0.8,0.9292057629046563,1122,0.5787385849949206,0.6158645276292335
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,10000,0.8,0.9292057629046563,717,0.5598924664166848,0.6331938633193863
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,30000,0.8,0.9292057629046563,307,0.7322664442189702,0.6188925081433225
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,1000,0.9,0.9732476248995604,1736,0.3563053524080989,0.43663594470046085
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,2000,0.9,0.9732476248995604,1250,0.48822465597025566,0.5688
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,5000,0.9,0.9732476248995604,820,0.666791456980888,0.6780487804878049
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,10000,0.9,0.9732476248995604,579,0.6524504007315751,0.6718480138169257
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,30000,0.9,0.9732476248995604,283,0.6726693801773167,0.6042402826855123
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,1000,0.95,0.9926191192601064,945,0.4158016774551621,0.5100529100529101
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,2000,0.95,0.9926191192601064,723,0.5347742882355375,0.6417704011065007
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,5000,0.95,0.9926191192601064,530,0.6633585815481029,0.7132075471698113
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,10000,0.95,0.9926191192601064,412,0.7167962765601434,0.7184466019417476
20260907T221751Z_3abdfd02,NEW12,BTC,depthL1_extOFI,30000,0.95,0.9926191192601064,235,0.6109796048301797,0.5872340425531914
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,1000,0.8,0.4160033864897273,2230,0.2194191711786059,0.24349775784753364
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,2000,0.8,0.4160033864897273,1357,0.33957923651965893,0.37361827560795874
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,5000,0.8,0.4160033864897273,768,0.5093596436068064,0.5286458333333334
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,10000,0.8,0.4160033864897273,521,0.460245248080842,0.5873320537428023
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,30000,0.8,0.4160033864897273,252,0.7763680068112323,0.6111111111111112
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,1000,0.9,0.5374800965145535,1278,0.2995725869226135,0.30125195618153366
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,2000,0.9,0.5374800965145535,833,0.4472985284458259,0.43577430972388953
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,5000,0.9,0.5374800965145535,519,0.6284667647389793,0.5973025048169557
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,10000,0.9,0.5374800965145535,383,0.6791522269268695,0.6475195822454308
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,30000,0.9,0.5374800965145535,216,0.7728813582012874,0.6111111111111112
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,1000,0.95,0.6382106172260202,727,0.4447838989147309,0.3741403026134801
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,2000,0.95,0.6382106172260202,509,0.6038641155218026,0.5009823182711198
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,5000,0.95,0.6382106172260202,346,0.7481241768813189,0.6445086705202312
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,10000,0.95,0.6382106172260202,281,0.6472935015652875,0.6441281138790036
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthBoth,30000,0.95,0.6382106172260202,178,0.8167338453711309,0.6235955056179775
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,1000,0.8,0.4160033864897273,2258,0.21650495512291532,0.24224977856510185
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,2000,0.8,0.4160033864897273,1372,0.33790895750257677,0.37317784256559766
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,5000,0.8,0.4160033864897273,775,0.5160568341355781,0.5290322580645161
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,10000,0.8,0.4160033864897273,525,0.47633014246364136,0.5885714285714285
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,30000,0.8,0.4160033864897273,254,0.7899172083147918,0.6062992125984252
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,1000,0.9,0.5374800965145535,1293,0.2959806806559928,0.300077339520495
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,2000,0.9,0.5374800965145535,842,0.44558206836704045,0.4323040380047506
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,5000,0.9,0.5374800965145535,525,0.6347309965642218,0.5923809523809523
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,10000,0.9,0.5374800965145535,387,0.6834488043101719,0.6434108527131783
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,30000,0.9,0.5374800965145535,217,0.8851967291451588,0.631336405529954
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,1000,0.95,0.6382106172260202,736,0.44201172180378856,0.37092391304347827
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,2000,0.95,0.6382106172260202,514,0.6088521263425989,0.4961089494163424
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,5000,0.95,0.6382106172260202,349,0.7465924079163051,0.6389684813753582
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,10000,0.95,0.6382106172260202,283,0.6492011972861329,0.6395759717314488
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depthL1,30000,0.95,0.6382106172260202,178,0.7943184470345698,0.6179775280898876
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,1000,0.8,0.4160033864897273,1999,0.24190157465308704,0.25812906453226614
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,2000,0.8,0.4160033864897273,1271,0.36614541659560795,0.3878835562549174
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,5000,0.8,0.4160033864897273,731,0.5537863715485538,0.5499316005471956
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,10000,0.8,0.4160033864897273,498,0.5657343010142589,0.608433734939759
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,30000,0.8,0.4160033864897273,248,0.7871603148308425,0.5967741935483871
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,1000,0.9,0.5374800965145535,1129,0.3372603246369578,0.32418069087688217
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,2000,0.9,0.5374800965145535,775,0.4814292388291811,0.4503225806451613
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,5000,0.9,0.5374800965145535,482,0.6566552621593106,0.6099585062240664
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,10000,0.9,0.5374800965145535,359,0.6928005338717161,0.6545961002785515
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,30000,0.9,0.5374800965145535,206,0.7141389141832342,0.5922330097087378
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,1000,0.95,0.6382106172260202,645,0.48933467340509723,0.3937984496124031
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,2000,0.95,0.6382106172260202,469,0.6608507186845838,0.5223880597014925
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,5000,0.95,0.6382106172260202,324,0.7803102543618781,0.6574074074074074
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,10000,0.95,0.6382106172260202,266,0.6916485487847168,0.6578947368421053
20260907T221751Z_3abdfd02,NEW12,BTC,gap_depth_extOFI,30000,0.95,0.6382106172260202,169,0.8411272155363745,0.6094674556213018
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,1000,0.8,0.4160033864897273,2271,0.2403037098329103,0.24438573315719947
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,2000,0.8,0.4160033864897273,1433,0.3688899701834861,0.366364270760642
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,5000,0.8,0.4160033864897273,806,0.5373730307953756,0.5235732009925558
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,10000,0.8,0.4160033864897273,537,0.5351268317352873,0.5828677839851024
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,30000,0.8,0.4160033864897273,259,0.6522270172046694,0.5637065637065637
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,1000,0.9,0.5374800965145535,1244,0.3564298611056377,0.31913183279742763
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,2000,0.9,0.5374800965145535,851,0.5111645908218827,0.4418331374853114
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,5000,0.9,0.5374800965145535,527,0.653231524927494,0.5939278937381404
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,10000,0.9,0.5374800965145535,387,0.6611375782631806,0.6330749354005168
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,30000,0.9,0.5374800965145535,218,0.766091685048779,0.6009174311926605
20260907T221751Z_3abdfd02,NEW12,BTC,gap_extOFI,1000,0.95,0.6382106172260202,706,0.5366387213007604,0.39943342776203966
