feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depthBoth,1000,22,22,1.0,0.1013112295442075,0.534571864880576,43834,0.3275109303132654,0.4049139937035178
depthBoth,2000,22,22,1.0,0.1677404541599677,0.6132745822369171,30816,0.4322092883025502,0.5103517653167186
depthBoth,5000,22,22,1.0,0.308344188420986,0.6907950066222324,19484,0.553257301029547,0.5973619380004106
depthBoth,10000,22,22,1.0,0.3703466289805627,0.9094402072138003,13191,0.6108771343389925,0.6192100674702449
depthBoth,30000,22,22,1.0,0.2387507790492902,1.1479074797361606,6221,0.700296044819437,0.6085838289664041
gap_depthBoth,1000,22,22,1.0,0.0846075776780783,0.47926869758053364,27936,0.30861060552215996,0.3178336197021764
gap_depthBoth,2000,22,22,1.0,0.1531331192176539,0.5873966620607375,18445,0.434728648058849,0.4415288696123611
gap_depthBoth,5000,22,22,1.0,0.2918578011564766,0.7589349160097395,11672,0.58684786157701,0.5625428375599726
gap_depthBoth,10000,22,22,1.0,0.3292271323516367,0.9578702243749622,8432,0.6797589556949416,0.6009250474383302
gap_depthBoth,30000,22,22,1.0,0.2976148303171004,1.090278552350263,4617,0.7507886014278393,0.5997400909681612
gap_depth_extOFI,1000,22,22,1.0,0.0897413268628778,0.567002224980779,25129,0.3418118199833969,0.32631620836483743
gap_depth_extOFI,2000,22,22,1.0,0.1622178523618244,0.7184032779111318,17007,0.4813256428975604,0.4499323807843829
gap_depth_extOFI,5000,22,22,1.0,0.2998233215748841,0.8785353902699967,10896,0.6573722437567562,0.5727790014684288
gap_depth_extOFI,10000,22,22,1.0,0.3656407141135644,0.98065401588069,7987,0.7402218269573205,0.6098660323024916
gap_depth_extOFI,30000,22,22,1.0,0.5252040624479688,1.1250690728406512,4461,0.8072453573196123,0.6059179556153329
gap_extOFI,1000,22,22,1.0,0.0882122665252639,0.55862906847996,29155,0.31895370905527104,0.3013891270794032
gap_extOFI,2000,22,22,1.0,0.1529652136648949,0.7136008588156665,19410,0.45152366558073553,0.41973209685729007
gap_extOFI,5000,22,22,1.0,0.2773972049097851,0.853247540966441,12119,0.6212745813793513,0.5455070550375444
gap_extOFI,10000,22,22,1.0,0.3791127014708,0.9537488538297316,8704,0.6921111217882204,0.5866268382352942
gap_extOFI,30000,22,22,1.0,0.5243843460975525,1.1967639648314112,4712,0.7806161756967771,0.5946519524617997
gap_localTrade,1000,22,22,1.0,0.2118881179726824,0.8656195978695647,11757,0.5774514948516516,0.456834226418304
gap_localTrade,2000,22,22,1.0,0.275282741612355,0.9556353027166816,9934,0.6669420034839738,0.5282866921683108
gap_localTrade,5000,22,22,1.0,0.3806209429927942,1.132074308518256,7641,0.773410887974305,0.5973040177987174
gap_localTrade,10000,22,22,1.0,0.4645661132361328,1.2228680426723657,6022,0.8773394285363156,0.6252075722351378
gap_localTrade,30000,22,22,1.0,0.37558561147643277,1.429268915080855,3689,0.9488546780525348,0.6093792355651938
