feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depthBoth,1000,8,8,1.0,0.33951742159024306,0.534571864880576,16696,0.40729040442357184,0.48023478677527554
depthBoth,2000,8,8,1.0,0.43229797952847987,0.6132745822369171,12126,0.5037647493010358,0.5694375721589972
depthBoth,5000,8,8,1.0,0.5020660170209509,0.6907950066222324,7739,0.6171148703194717,0.6322522289701512
depthBoth,10000,8,8,1.0,0.5306642330763138,0.9094402072138003,5161,0.682228915374215,0.6351482270877737
depthBoth,30000,8,8,1.0,0.37683290465215663,1.1479074797361606,2327,0.7956537466042091,0.6119467125053717
gap_depthBoth,1000,8,8,1.0,0.28826109756386004,0.47926869758053364,10404,0.3865220131437009,0.393118031526336
gap_depthBoth,2000,8,8,1.0,0.4472985284458259,0.5873966620607375,7197,0.5264655001306932,0.5143809920800333
gap_depthBoth,5000,8,8,1.0,0.6235548494763948,0.7583891913116493,4728,0.6822425681387849,0.6146362098138748
gap_depthBoth,10000,8,8,1.0,0.5976983256612919,0.8577087926134337,3422,0.7395017941708529,0.6236119228521333
gap_depthBoth,30000,8,8,1.0,0.2976148303171004,0.9458937025702739,1826,0.7607356245689003,0.5941949616648412
gap_depth_extOFI,1000,8,8,1.0,0.32844746461912927,0.5650570010447203,9174,0.4388301182241831,0.40941792020928713
gap_depth_extOFI,2000,8,8,1.0,0.4814292388291811,0.7184032779111318,6512,0.5936614527387608,0.5313267813267813
gap_depth_extOFI,5000,8,8,1.0,0.6566552621593106,0.8785353902699967,4343,0.7638137441989329,0.6309002993322588
gap_depth_extOFI,10000,8,8,1.0,0.615571831331803,0.941471819329593,3215,0.7905540145739808,0.6339035769828927
gap_depth_extOFI,30000,8,8,1.0,0.6204872692783246,1.1185499214904084,1771,0.8876618424318661,0.6070016939582157
gap_extOFI,1000,8,8,1.0,0.2989917112587661,0.55862906847996,10454,0.41286745560988447,0.3839678591926535
gap_extOFI,2000,8,8,1.0,0.4329720740733766,0.7136008588156665,7298,0.5574082634315491,0.5027404768429706
gap_extOFI,5000,8,8,1.0,0.608730324784144,0.853247540966441,4778,0.7235512972310286,0.6092507325240687
gap_extOFI,10000,8,8,1.0,0.5883213906399595,0.8624261745307638,3467,0.7455410221276679,0.6195558119411595
gap_extOFI,30000,8,8,1.0,0.6348648353841431,1.041190567478415,1848,0.834751008924834,0.6017316017316018
gap_localTrade,1000,8,8,1.0,0.5308022085946708,0.8257553626847933,4925,0.648202398870634,0.5315736040609137
gap_localTrade,2000,8,8,1.0,0.6224447459189036,0.9047620434218987,4160,0.741100186184487,0.5932692307692308
gap_localTrade,5000,8,8,1.0,0.6641513112576509,0.9634469332232313,3181,0.8035542837691693,0.6362779000314367
gap_localTrade,10000,8,8,1.0,0.6917880522770907,1.2228680426723657,2491,0.9065610131462126,0.6455238859895625
gap_localTrade,30000,8,8,1.0,0.37558561147643277,1.359972943536829,1464,0.9801036536212837,0.6065573770491803
