feature,type,old24_mean_bps,old24_positive_blocks,new12_mean_bps,new12_positive_blocks,all36_mean_bps,all36_positive_blocks,all36_N
fair_gap_reversion,simple,0.6496771033575105,14/14,0.6756517239349551,8/8,0.659933696636439,22/22,5146
depth_imbalance_l1,simple,0.6481214145246397,14/14,0.5606351822765313,8/8,0.6157037787972579,22/22,6342
depth_imbalance_l5,simple,0.582493878826557,14/14,0.7276236137522165,8/8,0.6363860765147077,22/22,6315
external_ofi,simple,0.2914726970764437,14/14,0.44371858448446344,8/8,0.3422718726558128,22/22,8032
leader_gap_500ms,simple,0.274233038542897,14/14,0.10756114525490264,4/8,0.21645344886972562,18/22,7050
leader_gap_1000ms,simple,0.33733699377069193,14/14,0.4263169619865152,8/8,0.3689307382244278,22/22,6534
gap_localTrade,composite,0.9282935543524677,14/14,0.9801036536212837,8/8,0.9488546780525348,22/22,3689
gap_extOFI,composite,0.7456855989490646,14/14,0.834751008924834,8/8,0.7806161756967771,22/22,4712
gap_depth_extOFI,composite,0.7543020134037012,14/14,0.8876618424318661,8/8,0.8072453573196123,22/22,4461
gap_depthBoth,composite,0.7442808034143754,14/14,0.7607356245689003,8/8,0.7507886014278393,22/22,4617
depthBoth,composite,0.6433116144000315,14/14,0.7956537466042091,8/8,0.700296044819437,22/22,6221
