feature,q,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depth_imbalance_l1,0.8,22,22,1.0,0.2248295262910311,1.017012953896704,7105,0.5666227633162101,0.583814215341309
depth_imbalance_l1,0.9,22,22,1.0,0.23970555572271016,0.8903687806724152,6342,0.6157037787972579,0.6004415011037527
depth_imbalance_l1,0.95,22,21,0.9545454545454546,-0.048932185571804836,1.064554799834556,5394,0.6258363385287581,0.6140155728587319
depth_imbalance_l5,0.8,22,22,1.0,0.2158613793207046,1.1646069637957779,7097,0.5231698229152335,0.577004368042835
depth_imbalance_l5,0.9,22,22,1.0,0.2894313290147609,1.0121789234793392,6315,0.6363860765147077,0.6025336500395883
depth_imbalance_l5,0.95,22,22,1.0,0.1925639421452472,1.176819266431621,5405,0.6711893824762322,0.6151711378353376
external_ofi,0.8,22,21,0.9545454545454546,-0.0315612087751658,0.7590071164585708,8358,0.20417363090368915,0.4838478104809763
external_ofi,0.9,22,22,1.0,0.1358279424895843,0.7811758131859202,8032,0.3422718726558128,0.5092131474103586
external_ofi,0.95,22,22,1.0,0.14976899974430619,1.2368814518868143,7463,0.4631556027008888,0.5330296127562643
fair_gap_reversion,0.8,22,21,0.9545454545454546,-0.0415963183278035,0.690411299531718,6191,0.35250113807498074,0.540138911322888
fair_gap_reversion,0.9,22,22,1.0,0.2979754991935929,1.0866062963591203,5146,0.659933696636439,0.5746210649047804
fair_gap_reversion,0.95,22,22,1.0,0.30091714956724214,1.5868485217370067,4127,0.7738694083822669,0.5963169372425491
leader_gap_1000ms,0.8,22,19,0.8636363636363636,-0.1766125257485551,0.707610570742277,7350,0.24184073715666238,0.49551020408163265
leader_gap_1000ms,0.9,22,22,1.0,0.046680442013715163,0.7364594665398838,6534,0.3689307382244278,0.522191613100704
leader_gap_1000ms,0.95,22,22,1.0,0.017577118952258077,1.1720607230530944,5601,0.43919351430945763,0.5411533654704517
leader_gap_500ms,0.8,22,22,1.0,0.0112882301662097,0.5550558204765529,7628,0.19647349019328694,0.49069218668065023
leader_gap_500ms,0.9,22,18,0.8181818181818182,-0.10388038678393442,0.7295120944007939,7050,0.21645344886972562,0.5001418439716312
leader_gap_500ms,0.95,22,21,0.9545454545454546,-0.1577836920368514,0.9782009406242828,6145,0.3829633300347694,0.5272579332790887
