feature,q,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depth_imbalance_l1,0.8,8,8,1.0,0.35405737644815755,1.017012953896704,2561,0.66850209021548,0.5892229597813354
depth_imbalance_l1,0.9,8,8,1.0,0.23970555572271016,0.8903687806724152,2350,0.5606351822765313,0.5927659574468085
depth_imbalance_l1,0.95,8,7,0.875,-0.048932185571804836,0.862192424278013,2033,0.5047157371359839,0.5907525823905558
depth_imbalance_l5,0.8,8,8,1.0,0.23273234314093819,1.1646069637957779,2550,0.5393806763253222,0.5741176470588235
depth_imbalance_l5,0.9,8,8,1.0,0.3807408157609354,1.0121789234793392,2345,0.7276236137522165,0.6051172707889125
depth_imbalance_l5,0.95,8,8,1.0,0.44966000442295545,1.176819266431621,2043,0.7796662848482571,0.6079295154185022
external_ofi,0.8,8,8,1.0,0.1851822022442484,0.7590071164585708,2782,0.3571016397132143,0.5330697340043135
external_ofi,0.9,8,8,1.0,0.2756457228712529,0.7811758131859202,2680,0.44371858448446344,0.5615671641791045
external_ofi,0.95,8,8,1.0,0.14976899974430619,1.2368814518868143,2501,0.5533540331231903,0.5645741703318673
fair_gap_reversion,0.8,8,8,1.0,0.012408305329315758,0.690411299531718,2332,0.3710289851765201,0.54073756432247
fair_gap_reversion,0.9,8,8,1.0,0.4777354804111098,0.8855876592382779,2032,0.6756517239349551,0.5836614173228346
fair_gap_reversion,0.95,8,8,1.0,0.30091714956724214,1.4269669560460707,1677,0.808192622601347,0.5968992248062015
leader_gap_1000ms,0.8,8,6,0.75,-0.05110254770843534,0.4769109427434379,2547,0.2229295094865269,0.5131527287004318
leader_gap_1000ms,0.9,8,8,1.0,0.046680442013715163,0.7363738047228747,2320,0.4263169619865152,0.5362068965517242
leader_gap_1000ms,0.95,8,8,1.0,0.017577118952258077,1.1720607230530944,2038,0.48244921163480986,0.5539744847890088
leader_gap_500ms,0.8,8,8,1.0,0.016895427862086348,0.35045930881317855,2633,0.1743805283143039,0.5199392328142803
leader_gap_500ms,0.9,8,4,0.5,-0.10388038678393442,0.36659967334296445,2444,0.10756114525490264,0.5155482815057283
leader_gap_500ms,0.95,8,8,1.0,0.05827434076369084,0.9782009406242828,2183,0.486612433869274,0.5460375629867156
