session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,1000,0.8,0.7800362419999061,4689,0.06776401885818634,0.11558967796971635
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,2000,0.8,0.7800362419999061,2685,0.11548417509923253,0.19478584729981377
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,5000,0.8,0.7800362419999061,1370,0.22258125564280618,0.33941605839416056
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,10000,0.8,0.7800362419999061,865,0.3206002039149609,0.461271676300578
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,30000,0.8,0.7800362419999061,423,0.47825665123166433,0.5981087470449172
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,1000,0.9,0.8762714481640621,2611,0.10131122954420756,0.16430486403676753
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,2000,0.9,0.8762714481640621,1578,0.16774045415996772,0.2661596958174905
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,5000,0.9,0.8762714481640621,886,0.308344188420986,0.42776523702031605
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,10000,0.9,0.8762714481640621,608,0.4366643714572873,0.5575657894736842
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,30000,0.9,0.8762714481640621,339,0.6350601194542743,0.6607669616519174
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,1000,0.95,0.9363334280105803,1476,0.14636071943315376,0.22967479674796748
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,2000,0.95,0.9363334280105803,957,0.22524869704959663,0.34691745036572624
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,5000,0.95,0.9363334280105803,586,0.4012461428477221,0.5187713310580204
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,10000,0.95,0.9363334280105803,436,0.5502593533512452,0.6330275229357798
20260905T073818Z_e44d99bd,WE,BTC,depthBoth,30000,0.95,0.9363334280105803,277,0.7329628604785348,0.703971119133574
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,1000,0.8,0.7720943112588021,4444,0.07070213747794572,0.12128712871287128
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,2000,0.8,0.7720943112588021,2663,0.11937717693241685,0.19977469019902366
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,5000,0.8,0.7720943112588021,1392,0.2291427360946906,0.34123563218390807
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,10000,0.8,0.7720943112588021,875,0.344484077137161,0.4605714285714286
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,30000,0.8,0.7720943112588021,432,0.5000884658951299,0.5949074074074074
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,1000,0.9,0.8775856745909232,2445,0.11258974450717249,0.17709611451942742
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,2000,0.9,0.8775856745909232,1545,0.17553548202122374,0.27119741100323624
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,5000,0.9,0.8775856745909232,886,0.3243290826404969,0.4288939051918736
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,10000,0.9,0.8775856745909232,603,0.4727077119646135,0.5638474295190713
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,30000,0.9,0.8775856745909232,336,0.6324420890299658,0.6607142857142857
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,1000,0.95,0.938089448259998,1390,0.15588338336631483,0.23741007194244604
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,2000,0.95,0.938089448259998,942,0.23127706386022465,0.3503184713375796
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,5000,0.95,0.938089448259998,593,0.4120055171113377,0.524451939291737
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,10000,0.95,0.938089448259998,437,0.5889182245987746,0.6498855835240275
20260905T073818Z_e44d99bd,WE,BTC,depthL1_extOFI,30000,0.95,0.938089448259998,276,0.7785804536368837,0.717391304347826
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,1000,0.8,0.33075622686684625,3522,0.060954864358767805,0.08489494605337876
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,2000,0.8,0.33075622686684625,1919,0.10772370504471289,0.14903595622720167
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,5000,0.8,0.33075622686684625,917,0.22606021145151817,0.2813522355507088
