session,period,asset,state,horizon_ms,N,mean_signed_bps,hit_rate,threshold,disp_lo,disp_hi
20260905T073818Z_e44d99bd,WE,BTC,low,5000,168,0.07887364830408099,0.19047619047619047,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,low,10000,123,0.09190036555606548,0.2845528455284553,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,low,30000,85,0.023724929952898897,0.4470588235294118,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,mid,5000,247,0.1367163963672781,0.25101214574898784,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,mid,10000,173,0.20771753580290123,0.35260115606936415,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,mid,30000,111,0.2199993512613417,0.4774774774774775,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,high,5000,399,0.34072532594866184,0.3533834586466165,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,high,10000,288,0.4701192771786291,0.4513888888888889,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,BTC,high,30000,188,0.5818716741176984,0.5851063829787234,0.44852834352759896,0.22966287011373063,0.47085815126923136
20260905T073818Z_e44d99bd,WE,ETH,low,5000,259,0.15223690471591755,0.27413127413127414,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,low,10000,196,0.317497375085131,0.3826530612244898,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,low,30000,143,0.3523687555592861,0.5174825174825175,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,mid,5000,327,0.21766423196956383,0.3211009174311927,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,mid,10000,247,0.24267067890071845,0.41700404858299595,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,mid,30000,173,0.44924213579219563,0.5491329479768786,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,high,5000,421,0.5207478797330626,0.44418052256532065,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,high,10000,336,0.6263633119713955,0.5327380952380952,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260905T073818Z_e44d99bd,WE,ETH,high,30000,224,0.7701652855741413,0.5982142857142857,0.6001090906160302,0.2643892138991969,0.48216197173248465
20260906T054317Z_7973d176,WE,BTC,low,5000,145,0.26212880787298526,0.3310344827586207,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,low,10000,108,0.3886910009484065,0.4351851851851852,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,low,30000,76,0.1479521985006056,0.5131578947368421,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,mid,5000,159,0.2730992287521971,0.37735849056603776,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,mid,10000,125,0.20264464508325902,0.448,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,mid,30000,88,-0.05078550578955224,0.4772727272727273,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,high,5000,197,0.5056166626244354,0.49238578680203043,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,high,10000,152,0.7260359161681752,0.5657894736842105,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,BTC,high,30000,97,0.5908929340610372,0.6082474226804123,0.48794814540598086,0.29594223575656414,0.5114364995523758
20260906T054317Z_7973d176,WE,ETH,low,5000,219,0.6486084763213686,0.4885844748858447,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,low,10000,171,0.6762666558827392,0.5730994152046783,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,low,30000,117,0.5898442260452804,0.5982905982905983,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,mid,5000,238,0.2786102353852745,0.5168067226890757,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,mid,10000,190,0.3104560973714761,0.5736842105263158,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,mid,30000,126,0.18885798141029897,0.6111111111111112,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,high,5000,285,0.658157295859989,0.5614035087719298,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,high,10000,230,0.7600045491955494,0.6086956521739131,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T054317Z_7973d176,WE,ETH,high,30000,150,1.0865125840338736,0.5933333333333334,0.6574494137936426,0.33972388503833134,0.5588009045384333
20260906T092548Z_d18fd1e3,WE,BTC,low,5000,71,0.22740881602770016,0.29577464788732394,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,low,10000,51,0.2209651503386372,0.37254901960784315,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,low,30000,40,0.39899333898278105,0.475,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,mid,5000,119,0.10649530123989408,0.19327731092436976,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,mid,10000,86,0.11200864208574943,0.27906976744186046,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,mid,30000,62,0.02343168742026905,0.3387096774193548,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,high,5000,197,0.44807534664704723,0.3604060913705584,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,high,10000,143,0.5258008232347101,0.46153846153846156,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,BTC,high,30000,91,0.629727727917258,0.5384615384615384,0.49508223893912645,0.2478898943590815,0.4869033158518065
20260906T092548Z_d18fd1e3,WE,ETH,low,5000,171,0.12280573037329934,0.40350877192982454,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,low,10000,144,0.223527675779869,0.5555555555555556,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,low,30000,114,-0.15202797264231113,0.49122807017543857,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,mid,5000,213,0.25347147325080355,0.45539906103286387,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,mid,10000,172,0.44312700845587355,0.563953488372093,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,mid,30000,121,0.5212153512124805,0.5785123966942148,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,high,5000,258,0.47087106991690675,0.5077519379844961,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,high,10000,209,0.619613499112344,0.5741626794258373,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T092548Z_d18fd1e3,WE,ETH,high,30000,139,0.5969713881318991,0.6187050359712231,0.5815295005251464,0.3182890355795811,0.5489076415848482
20260906T221530Z_db18dc51,WD,BTC,low,5000,293,0.42797422040048266,0.5221843003412969,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,low,10000,238,0.504517597224936,0.5462184873949579,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,low,30000,154,0.952554233865261,0.5974025974025974,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,mid,5000,305,0.38925260660072664,0.5508196721311476,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,mid,10000,252,0.636258015871974,0.5793650793650794,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,mid,30000,167,0.2521121269136116,0.5868263473053892,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,high,5000,392,0.7812479180408058,0.6326530612244898,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,high,10000,309,1.0024499646763099,0.656957928802589,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,BTC,high,30000,185,0.5736224182849196,0.5459459459459459,0.5540845678897455,0.3402628667307137,0.5744687442582904
20260906T221530Z_db18dc51,WD,ETH,low,5000,336,0.32357263857561636,0.5238095238095238,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,low,10000,273,0.5202495173257067,0.5824175824175825,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,low,30000,174,0.6680663452418067,0.5,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,mid,5000,371,0.32769294396507437,0.5417789757412399,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,mid,10000,303,0.3362650548865817,0.5346534653465347,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,mid,30000,180,0.06953944463524292,0.49444444444444446,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,high,5000,469,0.6923368634926305,0.5671641791044776,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,high,10000,377,0.6769154597732325,0.5702917771883289,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260906T221530Z_db18dc51,WD,ETH,high,30000,209,0.41165848580025216,0.5550239234449761,0.6662132358415951,0.3477301960488386,0.5976099959687496
20260907T070729Z_48d293bf,WD,BTC,low,5000,157,0.46787619080888726,0.4968152866242038,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,low,10000,124,0.47970758010352266,0.5161290322580645,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,low,30000,89,0.7790228603301848,0.5730337078651685,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,mid,5000,227,0.5650414430441711,0.5330396475770925,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,mid,10000,180,0.7208780792367995,0.5777777777777777,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,mid,30000,116,1.153296844650925,0.6379310344827587,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,high,5000,289,0.7142696146474916,0.5640138408304498,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,high,10000,221,0.8940796999135624,0.6153846153846154,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,BTC,high,30000,140,1.6477752474386222,0.6857142857142857,0.5563402015233978,0.3029686246052742,0.5602050828854956
20260907T070729Z_48d293bf,WD,ETH,low,5000,254,0.35088999271068894,0.5078740157480315,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,low,10000,208,0.5724245511199687,0.5432692307692307,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,low,30000,141,0.9656773720106266,0.6170212765957447,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,mid,5000,320,0.527155533203894,0.521875,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,mid,10000,249,0.6174513466317665,0.5421686746987951,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,mid,30000,157,0.8057327644843338,0.5923566878980892,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,high,5000,406,0.9306762015294687,0.6477832512315271,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,high,10000,315,1.0142367953286173,0.653968253968254,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T070729Z_48d293bf,WD,ETH,high,30000,187,0.8963432405932547,0.6417112299465241,0.6120584267290674,0.3168059105919197,0.5568157549023041
20260907T124300Z_6ac966eb,WD,BTC,low,5000,209,0.4931597113420198,0.47368421052631576,0.5688809801323025,0.32585118313145095,0.5729359404842389
