session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,100,0.8,0.030699319773946784,7382,0.015159517523813906,0.0,0.024112706583581684,0.01655064506503563
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,200,0.8,0.030699319773946784,7382,0.01720423480005835,0.0,0.02898943375778922,0.02183383131483388
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,500,0.8,0.030699319773946784,7382,0.022173659108775105,0.0,0.04023299918721214,0.03558776865126898
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,1000,0.8,0.030699319773946784,7382,0.026885541358660878,0.0,0.05770793822812246,0.055526227774213906
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,2000,0.8,0.030699319773946784,5252,0.035251737583258405,0.0,0.08415841584158416,0.09073620076481148
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,5000,0.8,0.030699319773946784,2907,0.060787873143391666,0.0,0.14551083591331268,0.18735747332565728
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,10000,0.8,0.030699319773946784,1715,0.07269662378135114,0.0,0.20233236151603498,0.31433652447188876
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,30000,0.8,0.030699319773946784,659,0.02963710553268789,0.0,0.3171471927162367,0.7230407918421675
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,100,0.9,0.09758401073335057,4513,0.02342247823567444,0.0,0.03434522490582761,0.02521439703778651
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,200,0.9,0.09758401073335057,4513,0.026294483268653468,0.0,0.0409926877908265,0.033132692721065414
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,500,0.9,0.09758401073335057,4513,0.03602274454407707,0.0,0.05849767338799025,0.05110337841427672
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,1000,0.9,0.09758401073335057,4513,0.0417425554671372,0.0,0.07844006204298692,0.07305066964405806
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,2000,0.9,0.09758401073335057,3495,0.059671367308293144,0.0,0.11301859799713877,0.11505194373333459
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,5000,0.9,0.09758401073335057,2205,0.102775762988236,0.0,0.1782312925170068,0.2132335733947817
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,10000,0.9,0.09758401073335057,1418,0.13611818664527692,0.0,0.25952045133991536,0.3537395141161297
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,30000,0.9,0.09758401073335057,598,0.16486588310588005,0.0,0.3377926421404682,0.7675351301734129
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,100,0.95,0.20920357274721257,2647,0.037763409523756175,0.0,0.055534567434831886,0.04088429779758913
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,200,0.95,0.20920357274721257,2647,0.044330182094933744,0.0,0.0657347941065357,0.05098037224317028
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,500,0.95,0.20920357274721257,2647,0.06024923912819305,0.0,0.09104646769928221,0.07583494569617373
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,1000,0.95,0.20920357274721257,2647,0.07153368815102998,0.0,0.11484699659992444,0.09967222699337462
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,2000,0.95,0.20920357274721257,2238,0.09412092250419883,0.0,0.15683646112600536,0.15009821449293437
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,5000,0.95,0.20920357274721257,1611,0.1491351262307415,0.0,0.22780881440099318,0.26012653934072766
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,10000,0.95,0.20920357274721257,1109,0.1942859273970371,0.0,0.3155996393146979,0.40594846519691696
