feature,type,WEEKEND12_mean_signed_bps,WEEKEND12_positive_blocks,WEEKEND12_blocks,WEEKEND12_N,WEEKEND12_min_block,WEEKEND12_max_block,WEEKDAY12_mean_signed_bps,WEEKDAY12_positive_blocks,WEEKDAY12_blocks,WEEKDAY12_N,WEEKDAY12_min_block,WEEKDAY12_max_block,ALL24_mean_signed_bps,ALL24_positive_blocks,ALL24_blocks,ALL24_N,ALL24_min_block,ALL24_max_block
fair_gap_reversion,simple,0.6082804195087332,6,6,1240,0.4212519846886002,0.9516295166758559,0.6770687191379179,8,8,1874,0.2979754991935929,1.0866062963591205,0.6496771033575105,14,14,3114,0.2979754991935929,1.0866062963591205
depth_imbalance_l1,simple,0.5533274301885989,6,6,1716,0.40533193030812276,0.7701910251697123,0.719591747178702,8,8,2276,0.4692450523767793,0.8762482785621178,0.6481214145246398,14,14,3992,0.40533193030812276,0.8762482785621178
depth_imbalance_l5,simple,0.5162551910260899,6,6,1713,0.2894313290147609,0.7229726252626829,0.632767193936083,8,8,2257,0.3523599644689199,0.9176608302801321,0.582493878826557,14,14,3970,0.2894313290147609,0.9176608302801321
external_ofi,simple,0.21793085328413597,6,6,2673,0.1505958892758284,0.3034625443956631,0.36484983349183703,8,8,2679,0.1358279424895843,0.6562902345408655,0.2914726970764437,14,14,5352,0.1358279424895843,0.6562902345408655
leader_gap_500ms,simple,0.24868967885537183,6,6,2190,0.09257458867161154,0.7295120944007939,0.2973869945510427,8,8,2416,0.0600617193670946,0.5706218080326065,0.27423303854289705,14,14,4606,0.0600617193670946,0.7295120944007939
leader_gap_1000ms,simple,0.2344154483806041,6,6,1947,0.11047050567832585,0.6544502405511388,0.42573057510042334,8,8,2267,0.1229100109206361,0.7364594665398838,0.33733699377069204,14,14,4214,0.11047050567832585,0.7364594665398838
gap_localTrade,composite,0.7734197218783561,6,6,829,0.45856614160968395,1.1558494936627477,1.0202637600265645,8,8,1396,0.6224191839075601,1.429268915080855,0.9282935543524677,14,14,2225,0.45856614160968395,1.429268915080855
gap_extOFI,composite,0.730403903281283,6,6,1149,0.5399973994466889,1.1967639648314112,0.7559238895159923,8,8,1715,0.5243843460975525,1.1436244741616188,0.7456855989490646,14,14,2864,0.5243843460975525,1.1967639648314112
gap_depth_extOFI,composite,0.7033428417874786,6,6,1047,0.6074744438513198,0.7604944060088558,0.7867756912382631,8,8,1643,0.5252040624479688,1.1250690728406512,0.7543020134037012,14,14,2690,0.5252040624479688,1.1250690728406512
gap_depthBoth,composite,0.6679379486223279,6,6,1072,0.5160559330904243,0.7365319939326528,0.7918896110566529,8,8,1719,0.613580216988509,1.090278552350263,0.7442808034143754,14,14,2791,0.5160559330904243,1.090278552350263
depthBoth,composite,0.5619458361259055,6,6,1661,0.3662553501416616,0.7281388188605746,0.7038349273034454,8,8,2233,0.23875077904929026,0.9253245513696976,0.6433116144000315,14,14,3894,0.23875077904929026,0.9253245513696976
