feature,q,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depthBoth,0.8,22,22,1.0,0.0967188910290126,1.0999447727594482,6997,0.5194157384937018,0.58124910676004
depthBoth,0.9,22,22,1.0,0.2387507790492902,1.1479074797361606,6221,0.700296044819437,0.6085838289664041
depthBoth,0.95,22,22,1.0,0.30091417797773673,1.1783280593229868,5271,0.6943676368438567,0.6129766647694934
gap_depthBoth,0.8,22,22,1.0,0.1992747084366429,0.870066373446337,5663,0.5237225010812198,0.5739007593148507
gap_depthBoth,0.9,22,22,1.0,0.2976148303171004,1.090278552350263,4617,0.7507886014278393,0.5997400909681612
gap_depthBoth,0.95,22,22,1.0,0.4800963961796622,1.673805985478539,3630,0.8702653416636205,0.6148760330578512
gap_depth_extOFI,0.8,22,22,1.0,0.3505600739053979,0.8768622626764154,5618,0.5826704489359348,0.578497686009256
gap_depth_extOFI,0.9,22,22,1.0,0.5252040624479688,1.1250690728406512,4461,0.8072453573196123,0.6059179556153329
gap_depth_extOFI,0.95,22,22,1.0,0.4144950064254004,1.6761489783871275,3442,0.9357393984467951,0.6287042417199302
gap_extOFI,0.8,22,22,1.0,0.1750742243219875,0.7858019677508138,5915,0.4802495688828613,0.5577345731191885
gap_extOFI,0.9,22,22,1.0,0.5243843460975525,1.1967639648314112,4712,0.7806161756967771,0.5946519524617997
gap_extOFI,0.95,22,22,1.0,0.5191032941662937,1.814313337616241,3635,1.046744633672091,0.630261348005502
gap_localTrade,0.8,22,22,1.0,0.3641399162588113,1.060227084517329,4807,0.6957787677388101,0.5795714582899938
gap_localTrade,0.9,22,22,1.0,0.37558561147643277,1.429268915080855,3689,0.9488546780525348,0.6093792355651938
gap_localTrade,0.95,22,22,1.0,0.5232318328109177,2.3392677453345674,2797,1.1887248534751342,0.6338934572756525
