feature,q,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depthBoth,0.8,8,8,1.0,0.2505426242968318,1.0999447727594482,2530,0.5924279715542758,0.5754940711462451
depthBoth,0.9,8,8,1.0,0.37683290465215663,1.1479074797361606,2327,0.7956537466042091,0.6119467125053717
depthBoth,0.95,8,8,1.0,0.30091417797773673,1.0037680531032305,2000,0.7049136419660351,0.599
gap_depthBoth,0.8,8,8,1.0,0.1992747084366429,0.870066373446337,2162,0.5416381039868974,0.5781683626271971
gap_depthBoth,0.9,8,8,1.0,0.2976148303171004,0.9458937025702739,1826,0.7607356245689003,0.5941949616648412
gap_depthBoth,0.95,8,8,1.0,0.6084608149249026,1.3881792991816215,1504,0.9856790391814628,0.6077127659574468
gap_depth_extOFI,0.8,8,8,1.0,0.5021644157621472,0.8768622626764154,2143,0.6815749810034124,0.5870275314979001
gap_depth_extOFI,0.9,8,8,1.0,0.6204872692783246,1.1185499214904084,1771,0.8876618424318661,0.6070016939582157
gap_depth_extOFI,0.95,8,8,1.0,0.8029506338337606,1.4931648910400608,1419,1.110920934149441,0.6286116983791402
gap_extOFI,0.8,8,8,1.0,0.2686253822337031,0.7858019677508138,2217,0.5116894381028629,0.566531348669373
gap_extOFI,0.9,8,8,1.0,0.6348648353841431,1.041190567478415,1848,0.834751008924834,0.6017316017316018
gap_extOFI,0.95,8,8,1.0,0.7647236576344079,1.6029159815595302,1477,1.1947053097262412,0.6330399458361544
gap_localTrade,0.8,8,8,1.0,0.5651050142558484,1.0295922306661398,1863,0.7718938065862925,0.5845410628019324
gap_localTrade,0.9,8,8,1.0,0.37558561147643277,1.359972943536829,1464,0.9801036536212837,0.6065573770491803
gap_localTrade,0.95,8,8,1.0,0.6100307909720237,1.932324439984856,1172,1.1497759440335256,0.628839590443686
