session_id,period,target_hours,wrapper_elapsed_hours,exit_code,watchdog_triggered,collector_sha256,grid_files,book_files,trade_files,grid_holes,book_holes,trade_holes,actual_grid_rows,sampler_missed_ticks_total,sampler_lag_events_gt50ms,sampler_lag_median_ms,sampler_lag_max_ms,writer_queue_max,writer_errors,writer_queue_final,ws_errors_total,reconnects_total,unknown_side_total,books_received_total,books_stored_total,trades_total,messages_total,created_utc,zip_crc_pass,parquet_magic_bad_grid,sampler_lag_explicit_missed,local_start_rome,local_end_rome
20260905T073818Z_e44d99bd,WE,6.0,6.001723589764701,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,720,720,720,0,0,0,431998,1,18,63.241705,93.157208,7,0,6,0,0,0,7184444,2443149,593254,7580938,,,,,,
20260906T054317Z_7973d176,WE,3.0,3.0018852011362718,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215964,18,58,64.31197549999999,96.075924,7,0,6,0,0,0,5448687,1638195,644148,5867684,,,,,,
20260906T092548Z_d18fd1e3,WE,3.0,3.0018941339519287,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215996,2,16,65.41819100000001,88.42828,7,0,6,0,0,0,4574492,1381181,391566,4821401,,,,,,
20260906T221530Z_db18dc51,WD,3.0,3.002250366475847,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215858,71,292,63.863312,99.100864,7,0,6,0,0,0,10151198,2156373,1272058,10927607,,,,,,
20260907T070729Z_48d293bf,WD,3.0,3.001915784014596,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215914,43,148,63.0838375,99.793292,7,0,6,0,0,0,7785692,1876612,996492,8390284,,,,,,
20260907T124300Z_6ac966eb,WD,3.0,3.0020776287052366,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215884,58,267,64.765445,98.983155,7,0,6,1,1,0,10161559,2302727,1445372,11063129,,,,,,
20260907T160215Z_ee5b0782,WD,3.0,3.001915306780073,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215954,23,135,65.591078,97.871057,7,0,6,1,1,0,6582470,1751560,673257,7009047,,,,,,
20260907T221751Z_3abdfd02,,3.0,3.001752015617159,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215998,1,6,57.555472,90.341657,7,0,6,0,0,0,6992582,1640163,841452,7488794,2026-09-07T22:17:51.795517+00:00,True,0.0,0.0,2026-09-08 00:17:51.795517+02:00,2026-09-08 03:17:51.795517+02:00
20260908T074322Z_1057297f,,3.0,3.0018130093812943,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215996,2,7,57.504785,92.065167,7,0,6,2,2,0,8978883,2018641,1112723,9643887,2026-09-08T07:43:22.819039+00:00,True,0.0,0.0,2026-09-08 09:43:22.819039+02:00,2026-09-08 12:43:22.819039+02:00
20260908T120838Z_3cfee030,,3.0,3.0018885354201,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215850,75,354,63.5790605,99.944822,7,0,6,0,0,0,15001033,2953184,2257601,16396807,2026-09-08T12:08:38.978726+00:00,True,0.0,12.0,2026-09-08 14:08:38.978726+02:00,2026-09-08 17:08:38.978726+02:00
20260909T171030Z_1952d031,,3.0,3.0020814306206174,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,360,360,360,0,0,0,215888,56,214,64.7366445,99.901979,7,0,6,2,2,0,7986554,1963029,923441,8544271,2026-09-09T17:10:30.551922+00:00,True,0.0,15.0,2026-09-09 19:10:30.551922+02:00,2026-09-09 22:10:30.551922+02:00
