session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,100,0.8,0.10283734195298838,4084,0.04477642053784972,0.0,0.07933398628795299,0.05144983904564139
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,200,0.8,0.10283734195298838,4084,0.07193919445560132,0.0,0.11777668952007836,0.0844506494804882
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,500,0.8,0.10283734195298838,4084,0.11518351822787468,0.0,0.1772771792360431,0.15716465008305108
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,1000,0.8,0.10283734195298838,4084,0.1577811436272375,0.0,0.24387855044074436,0.24514392580444505
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,2000,0.8,0.10283734195298838,2857,0.19133763218482577,0.0,0.3111655582779139,0.37640170399544726
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,5000,0.8,0.10283734195298838,1567,0.21599894884354656,0.0,0.4077855775366943,0.6964620069077853
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,10000,0.8,0.10283734195298838,903,0.21386254685407569,0.0,0.4706533776301218,1.0643814176846753
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,30000,0.8,0.10283734195298838,337,0.22307502722292433,0.0,0.49554896142433236,1.9750465851016596
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,100,0.9,0.5290714855899458,2704,0.07053289177106573,0.0,0.12093195266272189,0.07787214393032932
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,200,0.9,0.5290714855899458,2704,0.1112334254952918,0.0,0.17492603550295857,0.12308314049910948
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,500,0.9,0.5290714855899458,2704,0.16695101458561598,0.0,0.24519230769230768,0.21024125565717786
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,1000,0.9,0.5290714855899458,2704,0.22072045899199952,0.0,0.3206360946745562,0.3059259961986684
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,2000,0.9,0.5290714855899458,2091,0.2575856415437653,0.0,0.38450502152080346,0.43611673687635716
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,5000,0.9,0.5290714855899458,1277,0.31004991675012455,0.012616680638011246,0.5011746280344558,0.7528090028275501
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,10000,0.9,0.5290714855899458,790,0.28207891329749174,0.03793323910539215,0.5088607594936709,1.1056573403705787
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,30000,0.9,0.5290714855899458,317,0.48174377407439006,0.31686380876694287,0.5583596214511041,1.9930701922221754
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,100,0.95,1.0167728634074356,1807,0.09802450425448955,0.0,0.15218594355285003,0.10183531983410485
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,200,0.95,1.0167728634074356,1807,0.14812375710695355,0.0,0.21527393469839512,0.15709824755586566
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,500,0.95,1.0167728634074356,1807,0.21153816581710577,0.0,0.2916436081903708,0.25869389566952955
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,1000,0.95,1.0167728634074356,1807,0.24695486815059475,0.0,0.35528500276701713,0.3448280035775008
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,2000,0.95,1.0167728634074356,1518,0.2849183673654747,0.0,0.4064558629776021,0.47591103671736495
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,5000,0.95,1.0167728634074356,1045,0.3365903042763694,0.0,0.4909090909090909,0.7778774130542516
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,10000,0.95,1.0167728634074356,692,0.30409171345535574,0.18336825655052014,0.5274566473988439,1.1596979296771281
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_ofi,30000,0.95,1.0167728634074356,300,-0.06667570355134061,0.08849553206846661,0.5233333333333333,1.9415089804693162
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,100,0.8,1.0,4917,0.0555620808574626,0.0,0.09009558673988204,0.062093938213743524
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,200,0.8,1.0,4917,0.07381783962906273,0.0,0.11775472849298353,0.09274855024822486
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,500,0.8,1.0,4917,0.09040795553821099,0.0,0.16066707341875128,0.15555980816445023
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,1000,0.8,1.0,4917,0.10562622984160808,0.0,0.21252796420581654,0.23912414622748093
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,2000,0.8,1.0,3348,0.09758708048487749,0.0,0.25567502986857826,0.36952342098158436
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,5000,0.8,1.0,1721,0.08985362869617942,0.0,0.35851249273678093,0.6719545872006734
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,10000,0.8,1.0,963,0.07611630706828654,0.0,0.4153686396677051,1.0429262955409941
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,30000,0.8,1.0,342,0.12910978282119212,0.0,0.4766081871345029,1.9937699272282823
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,100,0.9,1.0,4917,0.0555620808574626,0.0,0.09009558673988204,0.062093938213743524
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,200,0.9,1.0,4917,0.07381783962906273,0.0,0.11775472849298353,0.09274855024822486
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,500,0.9,1.0,4917,0.09040795553821099,0.0,0.16066707341875128,0.15555980816445023
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,1000,0.9,1.0,4917,0.10562622984160808,0.0,0.21252796420581654,0.23912414622748093
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,2000,0.9,1.0,3348,0.09758708048487749,0.0,0.25567502986857826,0.36952342098158436
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,5000,0.9,1.0,1721,0.08985362869617942,0.0,0.35851249273678093,0.6719545872006734
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,10000,0.9,1.0,963,0.07611630706828654,0.0,0.4153686396677051,1.0429262955409941
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,30000,0.9,1.0,342,0.12910978282119212,0.0,0.4766081871345029,1.9937699272282823
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,100,0.95,1.0,4917,0.0555620808574626,0.0,0.09009558673988204,0.062093938213743524
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,200,0.95,1.0,4917,0.07381783962906273,0.0,0.11775472849298353,0.09274855024822486
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,500,0.95,1.0,4917,0.09040795553821099,0.0,0.16066707341875128,0.15555980816445023
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,1000,0.95,1.0,4917,0.10562622984160808,0.0,0.21252796420581654,0.23912414622748093
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,2000,0.95,1.0,3348,0.09758708048487749,0.0,0.25567502986857826,0.36952342098158436
20260907T221751Z_3abdfd02,NEW12,BTC,bitget_trade_flow,5000,0.95,1.0,1721,0.08985362869617942,0.0,0.35851249273678093,0.6719545872006734
