feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depth_imbalance_l1,100,22,22,1.0,0.0349442782352813,0.25928753558784084,46719,0.12925370221105711,0.1932190329416297
depth_imbalance_l1,200,22,22,1.0,0.0439329011433036,0.36024926142922525,46719,0.18208995765868008,0.252766540379717
depth_imbalance_l1,500,22,22,1.0,0.0690303537976234,0.45534389262627745,46719,0.2621797338176075,0.3391767803249213
depth_imbalance_l1,1000,22,22,1.0,0.1035655271293905,0.5359773438661155,46716,0.3351797753891435,0.4174800924736707
depth_imbalance_l1,2000,22,22,1.0,0.1706772930326355,0.6221627460994693,32567,0.4455539956027578,0.5251635090736021
depth_imbalance_l1,5000,22,22,1.0,0.3130313149610352,0.7466778116181909,20377,0.5825504357678416,0.6112774206212888
depth_imbalance_l1,10000,22,22,1.0,0.4547210259956539,0.8237227715548546,13625,0.6173178679080251,0.6253944954128441
depth_imbalance_l1,30000,22,22,1.0,0.23970555572271016,0.8903687806724152,6342,0.6157037787972579,0.6004415011037527
depth_imbalance_l5,100,22,22,1.0,0.029039760054565,0.2556088060302825,46904,0.1162909002162259,0.17064642674398767
depth_imbalance_l5,200,22,22,1.0,0.0369106687590212,0.35194353230759984,46904,0.16376600262182772,0.22569503667064642
depth_imbalance_l5,500,22,22,1.0,0.0642744404737951,0.4615391609454858,46903,0.23636854282841915,0.30797603564803955
depth_imbalance_l5,1000,22,22,1.0,0.0980014859852654,0.5439661931522621,46899,0.3067110926629617,0.38461374442951873
depth_imbalance_l5,2000,22,22,1.0,0.1638867370608044,0.6349339655714026,32643,0.4105630701327047,0.49057990993474865
depth_imbalance_l5,5000,22,22,1.0,0.2858896620725919,0.6983041543545283,20296,0.5268437188853117,0.5832183681513599
depth_imbalance_l5,10000,22,22,1.0,0.2908983620820249,0.8727995491885064,13598,0.5803006051257976,0.6079570525077217
depth_imbalance_l5,30000,22,22,1.0,0.2894313290147609,1.0121789234793392,6315,0.6363860765147077,0.6025336500395883
external_ofi,100,22,22,1.0,0.0178419844693563,0.26357816649282756,97458,0.10245298205980861,0.14174310985244923
external_ofi,200,22,22,1.0,0.0212472363832534,0.3256986370005394,97457,0.13355808848952394,0.1818237786921411
external_ofi,500,22,22,1.0,0.026673037018272,0.3750353212521849,97457,0.17350722771621835,0.2400340663061658
external_ofi,1000,22,22,1.0,0.0352285268543803,0.42607780734575607,97447,0.20608744065189397,0.2936262789003253
external_ofi,2000,22,22,1.0,0.0449110736041673,0.4881107811648292,67879,0.24848880509465313,0.3493422118770165
external_ofi,5000,22,22,1.0,0.0674402113082834,0.5260515829201984,37024,0.29491216594679864,0.42426534140017286
external_ofi,10000,22,22,1.0,0.1041449830097725,0.6899686982152355,21353,0.3391917140179758,0.47286095630590547
external_ofi,30000,22,22,1.0,0.1358279424895843,0.7811758131859202,8032,0.3422718726558128,0.5092131474103586
fair_gap_reversion,100,22,22,1.0,0.0450327354529207,0.2388871632696953,36285,0.1321691864975642,0.11654953837673968
fair_gap_reversion,200,22,22,1.0,0.0494331790277236,0.2539392879207719,36284,0.1563581128033077,0.1507827141439753
fair_gap_reversion,500,22,22,1.0,0.0585218091551719,0.3278294133222105,36282,0.19596961865588325,0.2145967697480844
fair_gap_reversion,1000,22,22,1.0,0.0746987233471795,0.36416335833822056,36279,0.24241136258357793,0.28154028501336864
fair_gap_reversion,2000,22,22,1.0,0.1303351030655695,0.5227861921273328,23704,0.3407173396510909,0.392845089436382
fair_gap_reversion,5000,22,22,1.0,0.2494675230594423,0.7108760656202738,14544,0.45647513166073683,0.5107260726072608
